,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity,artist_name,song_name,lyrics,lyric link,Mean.Timbre,Median.Timbre,Variance.Timbre,Skewness.Timbre,Min.Timbre,Max.Timbre,Mean.Pitches,Median.Pitches,Variance.Pitches,Skewness.Pitches,Min.Pitches,Max.Pitches,artist_followers
130,1KDsnpM14Y6CXbJHDaRV2B,0.773,0.398,2,-11.494,1,0.871,0.978,0,0.413,0.556,56.284,audio_features,spotify:track:1KDsnpM14Y6CXbJHDaRV2B,https://api.spotify.com/v1/tracks/1KDsnpM14Y6CXbJHDaRV2B,https://api.spotify.com/v1/audio-analysis/1KDsnpM14Y6CXbJHDaRV2B,56808,3,48,The Kid LAROI,BOOTY CALL (skit),"[Interlude: The Kid LAROI & Devenity Perkins]
Yo, what's up?
Like this is literally how our conversations go
Tell me this doesn't sound weird
If you were a girl, you would think this shit was weird
You're gonna text me, ""Good morning,"" we don't talk all day, right?
You'll text me around, mmm, probably eleven or twelve
When you feel like responding
Wanting me to come over, you come over, like, like, that shit's so weird
And then again, I don't text you through the whole day
But then I'll text you at night, and then you'll come over, like what?
Like literally a booty call
That is the definition of a booty call and a ho and I am not a ho
So, I'm not dealing with that, like that's bullshit
Like I have shit happening
I do things too, like, I still find the time for you, though
And if you don't wanna find the time for me, that is totally okay
Just, like, don't lead me on or whatever, like that's just fucked up
Like, I don't deserve that, I'm sorry, but like what?",https://genius.com/The-kid-laroi-booty-call-skit-lyrics,30.70942542,17.75247084,5258.38434,0.696586335,-61.54779593,175.1442365,0.352224053,0.25654398,0.076713104,NA,0.117115082,1,3257720
131,1L0z2CQKrKJ2spYSMkfim9,0.695,0.825,6,-2.891,1,0.0359,0.00265,0.000928,0.0723,0.484,160.028,audio_features,spotify:track:1L0z2CQKrKJ2spYSMkfim9,https://api.spotify.com/v1/tracks/1L0z2CQKrKJ2spYSMkfim9,https://api.spotify.com/v1/audio-analysis/1L0z2CQKrKJ2spYSMkfim9,197933,4,68,Doja Cat,Bottom Bitch,"[Chorus]
Ooh, that's my trick (Trick, trick)
I'm her pimp (Pimp, pimp)
She my flip (Flip, flip)
Ooh, don't forget (Get, get)
That's my trick (Trick, trick)
She my bottom bitch
Ooh, that's my trick (That's my trick)
I'm her pimp (I'm her pimp)
She my flip (She my flip)
Ooh, don't forget (Don't forget)
That's my trick (That's my trick)
She my bottom bitch

[Verse 1]
That's my ho
That's my doe
That's my glow up
She go hard
She just like a pro
She just wanna blow up
If you talkin' shit
Wipe your spit off my nuts
Nigga, grow up
On a boat like I'm Noah
Xan like I'm Noah
Damn, I don't know her no more
And she bought a crib
Then she bought a whip
In her Prada fit
Got some Gucci kicks
That's my bottom bitch
'Cause she 'bout it, bitch
And I'm proud of it

[Chorus]
Ooh, that's my trick (Trick, trick)
I'm her pimp (Pimp, pimp)
She my flip (Flip, flip)
Ooh, don't forget (Get, get)
That's my trick (Trick, trick)
She my bottom bitch
Ooh, that's my trick (That's my trick)
I'm her pimp (I'm her pimp)
She my flip (She my flip)
Ooh, don't forget (Don't forget)
That's my trick (That's my trick)
She my bottom bitch

[Verse 2]
She don't create no problems
That's why the bitch my bottom
And she like a model, oh woah
She ain't no rat, she possum
All up in that concoction
Personal coochie popper, oh
Slip in to something pretty
I need to be this fitted
Baby gon' get her way, yeah, oh woah
Baby, don't keep me waitin'
Baby boy, what you payin'?
Drop it and I will stay witcha
'Cause I know what you want, don't lie (Don't lie)
You want something for one night

[Chorus]
Ooh, that's my trick (Trick, trick)
I'm her pimp (Pimp, pimp)
She my flip (Flip, flip)
Ooh, don't forget (Get, get)
That's my trick (Trick, trick)
She my bottom bitch
Ooh, that's my trick (That's my trick)
I'm her pimp (I'm her pimp)
She my flip (She my flip)
Ooh, don't forget (Don't forget)
That's my trick (That's my trick)
She my bottom bitch

[Outro]
Ooh, that's my trick (Don't you forget)
I'm her pimp, she my flip (Don't)
Ooh, don't forget (Don't you forget)
That's my trick, bottom bitch (Don't you forget)
Ooh, that's my trick (Ayy, ayy, ayy, ayy)
I'm her pimp, she my flip (Ayy, ayy)
Ooh, don't forget (Ayy, ayy, ayy, ayy)
That's my trick, bottom bitch (Ayy)
Ooh
Ooh
Ooh",https://genius.com/Doja-cat-bottom-bitch-lyrics,6.916696021,3.187786594,1549.271723,0.187566892,-55.10103235,74.53247958,0.327212656,0.225868571,0.089058013,NA,0.072397175,1,15006470
132,1l9G7M8gNyQsgOGWZGoQsT,0.849,0.493,1,-4.1,0,0.0417,0.456,0.000463,0.133,0.447,97.012,audio_features,spotify:track:1l9G7M8gNyQsgOGWZGoQsT,https://api.spotify.com/v1/tracks/1l9G7M8gNyQsgOGWZGoQsT,https://api.spotify.com/v1/audio-analysis/1l9G7M8gNyQsgOGWZGoQsT,175240,4,63,Lady Gaga,Look What I Found,"[Intro]
1-2-3

[Verse 1]
I'm alone in my house
I'm out on the town
I'm at the bottom of the bottle
I've been knockin' 'em down

[Pre-Chorus 1]
I can't get back up on my feet
See the lights on the street like stars

[Chorus 1]
But look what I found
Look what I found
Another piece of my heart
Just layin' on the ground

[Verse 2]
Under the foggy day
I’m lookin' for a light
And my only friend
Is workin' tonight

[Pre-Chorus 2]
I can’t get myself out of bed
Hear these voices in my head like a song

[Chorus 2]
But look what I found
Somebody who loves me
Look what I found
Somebody who'll carry 'round a piece of my heart
Just layin' on the ground

[Bridge]
When I met you I was blown to pieces
Heart all over the floor
Ever since you put me back together
I can’t believe it won’t believe it
Uh

[Chorus 3]
Look what you found!
Yeah baby
Look what I found
Someone who'll carry 'round a piece of my heart
Look what I found
Whoo!
C'mon!
Look what I found
Somebody who loves me
Look what we found
Somebody who'll carry 'round a piece of my heart
Heart just layin' on the ground",https://genius.com/Lady-gaga-look-what-i-found-lyrics,12.00020312,8.918434706,1782.7529,0.134725422,-54.2722178,83.77901562,0.289577178,0.189094859,0.082277853,NA,0.066539003,1,20894831
133,1MzodJ9cC4zH44nYKdcuwA,0.443,0.178,6,-14.831,0,0.0358,0.924,0.00222,0.078,0.286,120.732,audio_features,spotify:track:1MzodJ9cC4zH44nYKdcuwA,https://api.spotify.com/v1/tracks/1MzodJ9cC4zH44nYKdcuwA,https://api.spotify.com/v1/audio-analysis/1MzodJ9cC4zH44nYKdcuwA,123459,4,54,Kali Uchis,ángel sin cielo,"[Intro]
La-la-la, ooh

[Chorus]
Angel without heaven
You have to do it without fear
Life is one and I owe no one
Life is one and I owe no one
Angel without heaven
You have to do it without fear
Life is one and I owe no one

[Bridge]
La-la-la, ooh
I owe no one
La-la-la, ooh

[Chorus]
Angel without heaven
I owe no one
I owe no one
I owe no one
Angel without heaven
Life is one and I owe no one

[Outro]
La-la-la, ooh",https://genius.com/Kali-uchis-angel-sin-cielo-lyrics,-10.49419529,-8.095629625,1848.940776,-0.041425954,-84.97346896,61.21343288,0.263759045,0.148061958,0.092285474,NA,0.033221772,1,2539472
134,1NA2NvAgCB4EfcBC8OHfuj,0.394,0.855,2,-4.204,1,0.0554,0.0339,0.0132,0.243,0.316,175.902,audio_features,spotify:track:1NA2NvAgCB4EfcBC8OHfuj,https://api.spotify.com/v1/tracks/1NA2NvAgCB4EfcBC8OHfuj,https://api.spotify.com/v1/audio-analysis/1NA2NvAgCB4EfcBC8OHfuj,268173,4,58,The Neighbourhood,Staying Up,"[Verse 1]
No food to eat
All the money's been wasted from last week
I can't even leave
So I sit in the basement, making up rad beats
Hot cup of tea
It's four o'clock in the middle of the night and I can't sleep
It's all on the peak
So bad I can taste it while it eats me

[Chorus]
How can I sleep if I don't have dreams?
I just have nightmares
How can it be?
I still believe something is out there

[Verse 2]
Some part of me
Feels a little bit naked and empty
I'm stuck underneath
A few dirty old blankets to comfort me

[Chorus]
How can I sleep if I don't have dreams?
I just have nightmares
How can it be?
I still believe something is out there
How can I sleep if I don't have dreams?
I just have nightmares
How can it be?
I still believe something is out there

[Bridge]
And there's a light
And I can see why I'm still alive
Mommy won't lie
'Cause if she did, I would've died
All the time I sit and try
You think I'd be tired
Every night, I'm sick and why?
Ohh, I'm staying up this time

[Chorus]
How can I sleep if I don't have dreams?
I just have nightmares
How can it be?
I still believe something is out there
How can I sleep if I don't have dreams?
I just have nightmares
How can it be?
I still believe something is out there
(Something is out there)",https://genius.com/The-neighbourhood-staying-up-lyrics,7.315584168,2.424539967,1052.858291,0.439105919,-38.22896622,65.24993304,0.363426216,0.280266044,0.078243875,NA,0.104031779,1,7934992
135,1nahzW3kfMuwReTka28tH5,0.658,0.634,1,-6.068,0,0.0431,0.0104,0,0.12,0.302,140.002,audio_features,spotify:track:1nahzW3kfMuwReTka28tH5,https://api.spotify.com/v1/tracks/1nahzW3kfMuwReTka28tH5,https://api.spotify.com/v1/audio-analysis/1nahzW3kfMuwReTka28tH5,170813,4,80,Justin Bieber,Hold On,"[Verse 1]
You know you can call me if you need someone
I'll pick up the pieces if you come undone

[Pre-Chorus]
Painting stars up on your ceiling
'Cause you wish that you could find some feeling, yeah, you
You know you can call me if you need someone

[Chorus]
I need you to hold on
Heaven is a place not too far away
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on
Tell me everything that you need to say
'Cause I know how it feels to be someone (Someone)
Feels to be someone who loses their way

[Verse 2]
You're looking for answers in a place unknown
You need the connection but you can't get close (Can't get close)

[Pre-Chorus]
Painting stars up on your ceiling
'Cause you wish that you could find some feeling, yeah, you
You know you can call me if you need someone

[Chorus]
I need you to hold on (Hold on)
Heaven is a place not too far away (Away, yeah)
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on (Oh, oh, oh-woah, oh-woah)
Tell me everything that you need to say
'Cause I know how it feels to be someone
Feels to be someone who loses their way

[Post-Chorus]
Midnight 'til morning
Call if you need somebody
I will be there for you (I will be there for you)
Midnight 'til morning
Call if you need somebody
I will be there for you

[Chorus]
I need you to hold on
Heaven is a place not too far away
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on (Hold on)
Tell me everything that you need to say
'Cause I know how it feels to be someone (Ooh, yeah)
Feels to be someone who loses their way

[Post-Chorus]
Midnight 'til morning
Call if you need somebody
I will be there for you (Oh, yeah, yeah)
Midnight 'til morning
Call if you need somebody
I will be there for you",https://genius.com/Justin-bieber-hold-on-lyrics,0.35715626,-0.854207005,1596.666344,-0.001245668,-66.35310283,65.26654862,0.310967875,0.212549858,0.084930784,NA,0.074804384,1,56005292
136,1nWyUagJmVzvBGTMDeY73L,0.349,0.739,9,-8.281,0,0.0716,0.314,0.699,0.972,0.259,134.364,audio_features,spotify:track:1nWyUagJmVzvBGTMDeY73L,https://api.spotify.com/v1/tracks/1nWyUagJmVzvBGTMDeY73L,https://api.spotify.com/v1/audio-analysis/1nWyUagJmVzvBGTMDeY73L,475307,4,48,Fleetwood Mac,Rhiannon - Live 1977,"[Verse 1]
Rhiannon rings like a bell through the night
And wouldn't you love to love her?
Takes to the sky like a bird in flight
And who will be her lover?

[Chorus]
All your life you've never seen a woman
Taken by the wind
Would you stay if she promised you heaven?
Will you ever win?

[Verse 2]
She is like a cat in the dark
And then she is the darkness
She rules her life like a fine skylark
And when the sky is starless
Once in a million years a lady like her rises
Oh no, Rhiannon, you cry, but she's gone
Your life knows no answer, your life knows no answer

[Chorus]
All your life you've never seen a woman
Taken by the wind
Would you stay if she promised you heaven?
Will you ever win?
Will you ever win?

[Refrain]
Rhiannon
Rhiannon
Rhiannon
Rhiannon

[Verse 3]
She rings like a bell through the night
And wouldn't you love to love her?
She rules her life like a bird in flight
And who will be her lover?

[Chorus]
All your life you've never seen a woman
Taken by the wind
Would you stay if she promised you heaven?
Will you ever win?
Will you ever win?

[Refrain]
Rhiannon
Rhiannon
Rhiannon

[Outro]
Taken by, taken by the sky
Taken by, taken by the sky
Taken by, taken by the sky
Dreams unwind
Love's a state of mind
Dreams unwind
Love's a state of mind",https://genius.com/Fleetwood-mac-rhiannon-lyrics,2.988995002,1.717021322,998.2044214,0.014304162,-52.50904106,56.25669586,0.404695459,0.327716258,0.072617182,NA,0.137271124,1,7780846
137,1NxHgM5nOnmqi3KUVLbaIw,0.409,0.446,2,-4.836,1,0.0317,0.65,0,0.0862,0.135,75.638,audio_features,spotify:track:1NxHgM5nOnmqi3KUVLbaIw,https://api.spotify.com/v1/tracks/1NxHgM5nOnmqi3KUVLbaIw,https://api.spotify.com/v1/audio-analysis/1NxHgM5nOnmqi3KUVLbaIw,210213,4,67,Lewis Capaldi,Leaving My Love Behind,"[Verse 1]
I don't know how we got to where we are
So far removed, I don't know where to start
'Cause I've been away for far too long
But I implore you, please hold on
I beg you, please hold on

[Pre-Chorus]
Love don't come easy to us
And it's killing me to hang on
And hope it's enough

[Chorus]
So, I was just wondering
Could you tell me, is it all a waste of time?
Are you leaving my love behind?
Baby, say the word and let me know
You gotta give me something
I swear that I won't try to change your mind
If you're leaving my love behind
Baby, say the word and let me go

[Verse 2]
We used to wait up and talk for hours on end
And it's got me thinking that lately something's changed
'Cause I've been feeling you leaving
Cracks in conversations way too long
I'm barely holding on

[Pre-Chorus]
Love don't come easy to us
And it's killing me to hang on
And hope it's enough

[Chorus]
So, I was just wondering
Could you tell me, is it all a waste of time?
Are you leaving my love behind?
Baby, say the word and let me know
You gotta give me something
I swear that I won't try to change your mind
If you're leaving my love behind
Baby, say the word and let me go

[Bridge]
Just let me go, let me go
Just let me go, just let me go
Baby, say the word and let me go

[Chorus]
'Cause I was just wondering
Could you tell me, is it all a waste of time?
Are you leaving my love behind?
Baby, say the word and let me know
You gotta give me something
I swear that I won't try to change your mind
If you're leaving my love behind
Baby, say the word and let me go

[Outro]
Just let me go, just let me go
Baby, say the word and let me go",https://genius.com/Lewis-capaldi-leaving-my-love-behind-lyrics,-2.273411954,-1.699361438,1801.127491,-0.208845663,-79.51868824,62.08020705,0.25606904,0.151714427,0.087767613,1.761834439,0.037012857,1,9168484
138,1nYeVF5vIBxMxfPoL0SIWg,0.627,0.69,10,-5.396,0,0.139,0.033,0,0.0742,0.627,122.053,audio_features,spotify:track:1nYeVF5vIBxMxfPoL0SIWg,https://api.spotify.com/v1/tracks/1nYeVF5vIBxMxfPoL0SIWg,https://api.spotify.com/v1/audio-analysis/1nYeVF5vIBxMxfPoL0SIWg,208505,4,73,Dua Lipa,Hallucinate,"[Verse 1]
Pocketful of honey and I'm ready to go
No, I ain't got no money, but I'm letting you know
That I'ma love you like a fool
Breathe you in till I hallucinate (Mmm)
Body make you silly, make you do what I want
Oh baby, I can make it pretty, I could string you along
But I'ma love you like a fool
Breathe you in till I hallucinate (Mmm)

[Pre-Chorus]
No, I couldn't live without your touch
No, I could never have too much
I'll breathe you in forever and ever
Hallucinate

[Chorus]
I hallucinate when you call my name
Got stars in my eyes
And they don't fade when you come my way
I'm losing my mi-mi-mi-mind, mi-mi-mi-mind
Mi-mi-mi-mind, mi-mi-mi-mind
I hallucinate when you call my name
Got stars in my

[Verse 2]
Put you in my hall of fame, middle of the wall
Yeah, you're my one, my favourite, my ride or die, oh
Yeah, I'ma love you like a fool
Breathe you in till I hallucinate (Mmm)

[Pre-Chorus]
No, I couldn't live without your touch
No, I could never have too much
I'll breathe you in forever and ever
Hallucinate

[Chorus]
I hallucinate when you call my name
Got stars in my eyes
And they don't fade when you come my way
I'm losing my mi-mi-mi-mind, mi-mi-mi-mind
Mi-mi-mi-mind, mi-mi-mi-mind
I hallucinate when you call my name
Got stars in my

[Bridge]
Wanna be right where you are
Let's go dancing in the dark
Don't wait, you can push to start, lose control
Kill me slowly with your kiss
Wrap me 'round your fingertips
Damn, I need another hit
(Make me lose my mind)

[Chorus]
I hallucinate when you call my name
Got stars in my eyes
And they don't fade when you come my way
I'm losing my mi-mi-mi-mind, mi-mi-mi-mind
Mi-mi-mi-mind, mi-mi-mi-mind
I hallucinate when you call my name
Got stars in my",https://genius.com/Dua-lipa-hallucinate-lyrics,4.60493667,1.712779098,1431.190744,0.100738649,-55.37987374,65.15663391,0.379162823,0.292853687,0.080890711,NA,0.107501874,1,31765060
139,1oVf17THhE9TZUE3BgHgWZ,0.561,0.627,0,-6.786,1,0.267,0.0686,0,0.112,0.354,149.001,audio_features,spotify:track:1oVf17THhE9TZUE3BgHgWZ,https://api.spotify.com/v1/tracks/1oVf17THhE9TZUE3BgHgWZ,https://api.spotify.com/v1/audio-analysis/1oVf17THhE9TZUE3BgHgWZ,201596,4,46,Internet Money,No Option (feat. Kevin Gates),"[Intro: Kevin Gates]
Know what I've been going through lately?
Sometimes I, I get depressed, I might overeat or I might not eat
Sometimes I get to buying shit that I don't even need
Clothes that I'm never gon' wear
I get to entertaining old relationships and shit

[Chorus: Kevin Gates]
Real ones know the shoes that I walk in
Had to make it out, I had no option
Hit the cell or the block or the coffin
Had to make it out, I had no option
Lock me up, throw away the key
They don't care about a nigga like me so I
Stack it up, I got this shit poppin'
Had to make it out, I had no option

[Verse 1: Kevin Gates]
I had just finished a prison stench
Without the presumption of innocence
The system don't look at me different
When I'm only trying to do something legitimate
My children been mad at they mothers
Like, ""When is our daddy coming home?""
We video visit on FaceTime but they like a thousand miles away
Christian Louboutin, I got my spikes on now
Fall off in the morning, look like Girls Gone Wild
I'm in Chiraq and you know how I'm livin'
I'm warning 'em in, it's a dangerous city
I'm still tryna see where the fuck I fit in
When all that I did was get caught with a pistol
Chief of parole was a black man
Or, in better words, another nigga
You know you lied on me on the stand
I'm still tryna see what I did
Went to trial in federal court, knowing I was gon' lose
Even when the verdict got rendered, I'll still be a bread winner

[Chorus: Kevin Gates]
Real ones know the shoes that I walk in
Had to make it out, I had no option
Hit the cell or the block or the coffin
Had to make it out, I had no option
Lock me up, throw away the key
They don't care about a nigga like me so I
Stack it up, I got this shit poppin'
Had to make it out, I had no option

[Verse 2: Kevin Gates]
I thought when I got out of jail in Florida
I wouldn't sit in a cell again
Broke the lil' promise I made to my daughter
That I wouldn't put her through hell again
The man in the mirror look at me and whispered
""You gotta get better control of your businesses
Quit being stubborn whenever you suffer
The people that suffer the most are your children""
Flew her in from Houston, got my ice on now
Lick on her lil' body 'til the lights go out
A victim of circumstance, in my section I'm labeled a shooter
People that don't even know me
So how in the fuck they controlling my future?
All of the people who matter be smilin'
I know that they proud of me
Holdin' it down up the road in the pen
Everybody that doubted me
Flew baby in from Houston, got my ice on now
Lick on her lil' body 'til the lights go out

[Chorus: Kevin Gates]
Real ones know the shoes that I walk in
Had to make it out, I had no option
Hit the cell or the block or the coffin
Had to make it out, I had no option
Lock me up, throw away the key
They don't care about a nigga like me so I
Stack it up, I got this shit poppin'
Had to make it out, I had no option (Yeah, yeah, yeah)

[Outro: Kevin Gates]
'Til the lights go down
You know sometimes I—
I— I— I get— I get depressed, you know, and I can't move, and I—
I might get on Instagram and slide in the DM of a bitch that I used to fuck with
And I fly baby in from Houston, got my ice on now
Lick on her lil' body 'til the lights go down
'Til the lights go down, oh
Hahahaha
Raw! Keep that",https://genius.com/Internet-money-no-option-lyrics,4.559278257,2.228958846,1455.640612,0.130231799,-55.37985248,68.11734311,0.337330636,0.251629005,0.087931689,NA,0.073445368,1,4760943
140,1oVf17THhE9TZUE3BgHgWZ,0.561,0.627,0,-6.786,1,0.267,0.0686,0,0.112,0.354,149.001,audio_features,spotify:track:1oVf17THhE9TZUE3BgHgWZ,https://api.spotify.com/v1/tracks/1oVf17THhE9TZUE3BgHgWZ,https://api.spotify.com/v1/audio-analysis/1oVf17THhE9TZUE3BgHgWZ,201596,4,46,Kevin Gates,No Option (feat. Kevin Gates),"[Intro: Kevin Gates]
Know what I've been going through lately?
Sometimes I, I get depressed, I might overeat or I might not eat
Sometimes I get to buying shit that I don't even need
Clothes that I'm never gon' wear
I get to entertaining old relationships and shit

[Chorus: Kevin Gates]
Real ones know the shoes that I walk in
Had to make it out, I had no option
Hit the cell or the block or the coffin
Had to make it out, I had no option
Lock me up, throw away the key
They don't care about a nigga like me so I
Stack it up, I got this shit poppin'
Had to make it out, I had no option

[Verse 1: Kevin Gates]
I had just finished a prison stench
Without the presumption of innocence
The system don't look at me different
When I'm only trying to do something legitimate
My children been mad at they mothers
Like, ""When is our daddy coming home?""
We video visit on FaceTime but they like a thousand miles away
Christian Louboutin, I got my spikes on now
Fall off in the morning, look like Girls Gone Wild
I'm in Chiraq and you know how I'm livin'
I'm warning 'em in, it's a dangerous city
I'm still tryna see where the fuck I fit in
When all that I did was get caught with a pistol
Chief of parole was a black man
Or, in better words, another nigga
You know you lied on me on the stand
I'm still tryna see what I did
Went to trial in federal court, knowing I was gon' lose
Even when the verdict got rendered, I'll still be a bread winner

[Chorus: Kevin Gates]
Real ones know the shoes that I walk in
Had to make it out, I had no option
Hit the cell or the block or the coffin
Had to make it out, I had no option
Lock me up, throw away the key
They don't care about a nigga like me so I
Stack it up, I got this shit poppin'
Had to make it out, I had no option

[Verse 2: Kevin Gates]
I thought when I got out of jail in Florida
I wouldn't sit in a cell again
Broke the lil' promise I made to my daughter
That I wouldn't put her through hell again
The man in the mirror look at me and whispered
""You gotta get better control of your businesses
Quit being stubborn whenever you suffer
The people that suffer the most are your children""
Flew her in from Houston, got my ice on now
Lick on her lil' body 'til the lights go out
A victim of circumstance, in my section I'm labeled a shooter
People that don't even know me
So how in the fuck they controlling my future?
All of the people who matter be smilin'
I know that they proud of me
Holdin' it down up the road in the pen
Everybody that doubted me
Flew baby in from Houston, got my ice on now
Lick on her lil' body 'til the lights go out

[Chorus: Kevin Gates]
Real ones know the shoes that I walk in
Had to make it out, I had no option
Hit the cell or the block or the coffin
Had to make it out, I had no option
Lock me up, throw away the key
They don't care about a nigga like me so I
Stack it up, I got this shit poppin'
Had to make it out, I had no option (Yeah, yeah, yeah)

[Outro: Kevin Gates]
'Til the lights go down
You know sometimes I—
I— I— I get— I get depressed, you know, and I can't move, and I—
I might get on Instagram and slide in the DM of a bitch that I used to fuck with
And I fly baby in from Houston, got my ice on now
Lick on her lil' body 'til the lights go down
'Til the lights go down, oh
Hahahaha
Raw! Keep that",https://genius.com/Internet-money-no-option-lyrics,4.559278257,2.228958846,1455.640612,0.130231799,-55.37985248,68.11734311,0.337330636,0.251629005,0.087931689,NA,0.073445368,1,4760943
141,1p7DC2sFe7aJdO1RZdO3tC,0.637,0.476,1,-18.382,1,0.544,0.786,4.27E-06,0.939,0.262,91.872,audio_features,spotify:track:1p7DC2sFe7aJdO1RZdO3tC,https://api.spotify.com/v1/tracks/1p7DC2sFe7aJdO1RZdO3tC,https://api.spotify.com/v1/audio-analysis/1p7DC2sFe7aJdO1RZdO3tC,64194,5,60,Juice WRLD,Betrayal - Skit,"Hehe
Hahahaha
Hello? Oh my God
I know this ain't you calling me again (Stop calling me again)
Oof, ooh my God
Yeah, yeah, it's him
Hello? What in the fuck did I tell you about calling me?
You found out 'bout who? (Found out 'bout who?)
Yeah, I bet you did found out about me and who
Yeah, I fuck with him, I fuck with him for real
Oh, you mad now? (Oh, you mad now?)
Nigga, you ain't mad about shit (Girl, pour me another one)
Okay, whatever
I'll talk to you later, okay?
Nah, nah, I ain't even gon' talk to you later
Don't, like I said, delete my number
Why in the fuck is you still calling me?
Why you pressed about me fucking on him?",https://genius.com/Juice-wrld-betrayal-skit-lyrics,27.69288037,16.41938237,3254.390473,0.750819325,-44.15717742,141.7644907,0.512898878,0.462969501,0.061287566,NA,0.227376042,1,22046541
142,1rgnBhdG2JDFTbYkYRZAku,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,audio_features,spotify:track:1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/audio-analysis/1rgnBhdG2JDFTbYkYRZAku,209755,4,67,Tones And I,Dance Monkey,"[Verse 1]
They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

[Pre-Chorus]
Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

[Chorus]
So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

[Verse 2]
I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin' my whole life
But you just beg to see me dance just one more time

[Pre-Chorus]
Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

[Chorus]
So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

[Bridge]
Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah

[Chorus]
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again
All again""",https://genius.com/Tones-and-i-dance-monkey-lyrics,9.526264853,7.328541587,1789.120392,0.061520448,-56.93585353,77.97021454,0.330070301,0.2327531,0.08448953,NA,0.080093521,1,2926712
143,1RL042HeY9ln1Bwu2ODyJJ,0.633,0.323,7,-9.723,1,0.411,0.305,0,0.321,0.713,203.709,audio_features,spotify:track:1RL042HeY9ln1Bwu2ODyJJ,https://api.spotify.com/v1/tracks/1RL042HeY9ln1Bwu2ODyJJ,https://api.spotify.com/v1/audio-analysis/1RL042HeY9ln1Bwu2ODyJJ,142533,4,44,Shawn Mendes,Because I Had You,"[Verse 1]
I think it's time that I be honest
Should've told you not to go
Thought I knew just what I wanted
I didn't know myself at all

[Pre-Chorus]
You're with somebody I can't be, yeah
But I can tell that you're happy

[Chorus]
It's time for me to finally meet somebody new
Take her to all the places that I took us to
And she might help me forget
But loving her is something I could never do
Because I had, because I had you

[Verse 2]
Hey, remember when I told you
That you and I, we'd go down in history together, yeah
And does your sister ask about me?
You and I, what we had, is it gone forever?

[Pre-Chorus]
You're with somebody I can't be
But I can tell that you're happy

[Chorus]
It's time for me to finally meet somebody new
Take her to all the places that I took us to
And she might help me forget but loving her is something I could never do
Because I had, because I had you

[Bridge]
There's nothin', oh
There's nothin' left to lose (ooh)
Because I had you, babe
There's nothin'
Nothin' that I could do (ooh)
I wish I had you

[Chorus]
But I think it's time I finally found somebody new
And tell myself that she's the one to get me through
And she might help me forget but loving her is something I just couldn't do
Because I had you",https://genius.com/Shawn-mendes-because-i-had-you-lyrics,-5.524180166,-6.895380271,2961.005809,0.09640944,-92.64597083,86.29323132,0.282151907,0.178572207,0.084378847,NA,0.06263457,1,36286166
