,id,artist_name,song_name,cleaned_lyrics,popularity
14,07ElML4j2iR5k1E6C0Uqzj,Glass Animals,Space Ghost Coast To Coast,said to you why did you do it touch the glass will feel ya through it against the wall with the bracelets on you look bizarre in the apricot you think that you are space ghost you are wanted coast to coast fuck that shit now go my way and you go yours got to be all that coco ayy playin too much of that gta playin too much of that dr dre doom quake where did you get the gun from eh really think that metal going to make you safe playing peekaboo with the devil these days black cap back with trench coat ayy living in the valley cuttin porno tapes living in the valley cuttin porno you think that you are space ghost you are wanted coast to coast fuck that shit now go my way and you go yours were you bored of gender norms of being alone no mama home bad divorce or sad we can not afford the clothes our heroes own remember when you stole moms old geo metro you wore her old bathrobe too small to see the road we were just two texas toddlers pokmon and bottle rockets dunkaroos and real monsters capri sun straw in the bottom you think that you are space ghost you are wanted coast to coast fuck that shit now go my way and you go yours heard you were lookin up the cookbook names cut into the back of your bedroom door frame supervillain with manifesto dang got to say am pretty glad they caught you man get back to the kickball days scared to hold hands at school disco days nintendo james bond hot pockets in the microwave you think that you are space ghost you are wanted coast to coast fuck that shit now go my way and you go yours living in the valley cuttin porno,58
15,09WAnxdBuebQopKhJT3oZS,Bad Bunny,TRELLAS,looking at the stars reminded me of you and wondered if there will be someone for me maybe in another galaxy far away from here do not know do not know met someone going around mars and we had date on the moon swear liked her until thought about you you and have already time traveled have met space and can not find anyone like you kissed an alien had sex with martians and like no one more than you will keep searching thousand light years uhuh uhuh uhuh looking at the stars reminded me of you and wondered if there will be someone for me maybe in another galaxy far away from here do not know do not know ayy uhuh uhuh uhuh,71
16,0afhq8XCExXpqazXczTSve,Ed Sheeran,Galway Girl,she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then took her by the hand said baby just want to dance met her on grafton street right outside of the bar she shared cigarette with me while her brother played the guitar she asked me what does it mean the gaelic ink on your arm said it was one of my friends songs do you want to drink on she took jamie as chaser jack for the fun she got arthur on the table with johnny riding shotgun chatted some more one more drink at the bar then put van on the jukebox got up to dance you know she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then took her by the hand said baby just want to dance with my pretty little galway girl you are my pretty little galway girl you know she beat me at darts and then she beat me at pool and then she kissed me like there was nobody else in the room as last orders were called was when she stood on the stool after dancing the cili singing to trad tunes never heard carrickfergus ever sung so sweet cappella in the bar using her feet for beat oh could have that voice playing on repeat for week and in this packed out room swear she was singing to me you know she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then took her by the hand said baby just want to dance my pretty little galway girl my my my my my my my galway girl my my my my my my my galway girl my my my my my my my galway girl and now we have outstayed our welcome and it is closing time was holding her hand her hand was holding mine our coats both smell of smoke whisky and wine as we fill up our lungs with the cold air of the night walked her home then she took me inside to finish some doritos and another bottle of wine swear am going to put you in song that write about galway girl and perfect night she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then took her by the hand said baby just want to dance my pretty little galway girl my my my my my my my galway girl my my my my my my my galway girl my my my my my my my galway girl,80
17,0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,hey once upon younger year when all our shadows disappeared the animals inside came out to play hey hey went face to face with all our fears learned our lessons through the tears made memories we knew would never fade one day my father he told me son do not let it slip away he took me in his arms heard him say hey when you get older your wild heart will live for younger days think of me if ever you are afraid he said one day you will leave this world behind so live life you will remember my father told me when was just child these are the nights that never die my father told me hey hey hey hey hey hey hey hey hey hey hey hey hey hey when thunderclouds start pouring down light fire they can not put out carve your name into those shining stars he said go venture far beyond the shores do not forsake this life of yours will guide you home no matter where you are one day my father he told me son do not let it slip away when was just kid heard him say when you get older your wild heart will live for younger days think of me if ever you are afraid he said one day you will leave this world behind so live life you will remember my father told me when was just child these are the nights that never die my father told me hey hey hey hey oooh oooh hey hey these are the nights that never die my father told me hey hey hey hey oooh oooh hey hey oooh oooh hey hey hey hey hey hey oooh oooh hey hey my father told me,87
18,0DYNL4xbYWgNzppUamtyR4,The Kid LAROI,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",fuck you goodbye you hurt me for the last time it is time for me to move on so fuck you and goodbye gave you love and hate it yeah yeah yeah all of the time that wasted yeah yeah fuck you goodbye you hurt me for the last time it is the last time let you hurt me fuck you goodbye did not deserve it none of this bullshit was ever really worth it you blame me like know are not perfect tried with you and lied for you many times put my life on the line for you really wanted to get it right with you always saw the better side of you and now it is fuck you for life am doing better you right was wrong bout you guess finally realized you brought the dark to my light am with new one tonight but there is one last thing want to tell you tonight fuck you goodbye you hurt me for the last time it is time for me to move on so fuck you and goodbye gave you love and hate it yeah yeah yeah all of the time that wasted yeah yeah fuck you goodbye you hurt me for the last time wait that was lie because can not erase you like eternal sunshine in spotless mind red in the eyes lately have been on cocaine diet have been tryin to feed my high your things are still in the box that you left in the bedroom you will leave and am here with no heart guess will be dead soon ghost in she will stoned like cemetery scars do not heal got these in february broke your spell love is only temporary highway to hell am hangin out the roof yellin fuck you goodbye yeah you hurt me for the last time it is time for me to move on so fuck you and goodbye gave you love and hate it yeah yeah yeah all of the time that wasted yeah yeah fuck you goodbye you hurt me for the last time,78
20,0ECWkqtSIryUYVjyJMr0yA,Giveon,Vanish,you said you hate me and you wish would vanish okay you love me baby speak your language sayin things you do not mean to someone that means the world to you you see what mean sayin things you do not mean to someone that means the world to you you see what mean you said you hate me and you wish would vanish okay you love me baby speak your language sayin things you do not mean to the one that means the world to you you see what mean say hate you too and wish you would vanish but babe love you and think you understand it sayin things do not mean to the one that means the world to me you see what mean sayin things do not mean girl you mean the world to me yes you do ooh know am sorry can be hypocrite got stuff to work on you got stuff to work on but we are going to we are going to make it work love you,65
21,0ESJlaM8CE1jRWaNtwSNj8,Travis Scott,beibs in the trap,that coca just poured an eight in liter throw some jolly rancher in make it sweeter versace my clothes am with white ho and she snortin three lines like adidas got black girl rollin off molly got white bitch snortin up snow say she want real niggas in the party parents gon leave the keys to the condo bitch close the door there is shit on your nose that coca she said she want more she said she want more so am about to get more yeah am about to get more bitch close the door there is shit on your nose she said she want more she said she want more so am about to get more yeah am about to get more just poured an eight in liter with white bitch sniffin on bieber are you sure you want to party with the demons bitch lookin for phone are not seen it told frost bring the water no fiji free stix am poured up and am leanin got couple pussy niggas in their feelings because the main bitch want to come see me she said she want more your girl is ho you need to let go she fucked all my bros she snortin the snow that coca now she is touchin her toes she got anna nicole all in her nose if they kick down the door we gon get locked for sure she said she want more fuck it am about to get more am about to get more nightmare highlife sleepy nightnight yeah flashes spotlight pull up nice guy yeah yeah help it peace peace peace to yeah bite me ride me yeah strike me indict me yeah yeah snipe it swipe it rapper trapper ooh yeah am lit lightyeahnin yeah bitch yeah white bitch bitch she thick bitch pulled out of the hood toyota drove back to the hood lambo ooh crushed xans crushed xans in my soda ridin around the city with my eyes closed yeah yeah crazy girls got it poppin aod got it poppin yeah yeah tryna text my accountant are not no service in the mountains straight up will not you come to the bottom know you heard lot about them yeah heard they take that then they change like mood ring yeah yeah watched them take that then they change like mood ring pulled out of the hood toyota drove back to the hood lambo ooh crushed xans crushed xans in my soda ridin around the city with my eyes closed ooh just poured an eight in liter throw some jolly rancher in make it sweeter versace my clothes am with white ho and she snortin three lines like adidas got black girl rollin off molly molly got white bitch snortin up snow say she want real niggas in the party parents gon leave the keys to the condo bitch close the door there is shit on your nose that coca she said she want more she said she want more so am about to get more ooh yeah am about to get more ooh bitch close the door ooh there is shit on your nose ooh she said she want more ooh she said she want more ooh so am about to get more ooh yeah am about to get more mmmmmm mmmmmm mmmmmm mmmmmm mmmmmmmmm mmmmmmmmm mmmmmmmmm mmmmmmmmm,71
22,0eUwuRuPBzxhU9ApFIcDl2,Lady Gaga,Diggin' My Grave,you are killin me baby with the things you do put me in the ground before we are through burnin up this town spendin everythin have saved yeah you have been out all night diggin my grave every little lie you tell can not keep it hid you are just another nail on my my coffin lid someone else is gettin all the love you never gave woo yeah and you have been out all night diggin my grave yeah so keep on runnin around are not no need to hurry back because will be gone from here and you will be all dressed up in black six feet under baby that is where will be by the time that you are done with me all these tears cry drownin in tidal wave you have been out all night diggin my grave so keep on runnin around are not no need to hurry back because will be gone from here and you will be all dressed up in black woooo six feet under baby that is where will be by the time that you are done with me all these tears cry drownin in tidal wave yeah yeah you have been out all night diggin my grave you have been out all night diggin my grave diggin my diggin my diggin my diggin my diggin my diggin my diggin my diggin my diggin my grave diggin my diggin my diggin my diggin my diggin my diggin my diggin my diggin my diggin my grave,56
24,0FfX0nofboxZjP0diT1eFv,Imagine Dragons,Ill Make It Up To You,took your heart took your hand promise you all that had hopin that you understand far from perfect man because honey it is been hard year it seem like we are going nowhere cryin inside your bedroom baby know it is not fair lay with me for one more night promise you will make it right will make it up to you you you every night will make it up to you you you every night will make it up to you know you do not understand the vices that follow man and in your eyes can see the places that you would rather be because honey it is been hard year it seem like we are going nowhere you are cryin inside your bedroom baby know it is not fair will make it up to you you you every night will make it up to you you you every night will make it up to you in our darkest hour in the dead of the night will make it up to you your hands are mine will make it up to you promises are nothing more than fleetin thoughts but you you are my lifeblood will make it up to you every night will make it up to you every night will make it up to you you you every night will make it up to you you you every night will make it up to you you you every night will make it up to you,64
25,0fSJRkERzRgagVZZ91s5sz,Duncan Laurence,Between Good And Goodbye,she wore white that day her hair up the most beautiful she ever felt she gave her heart that day you promised it would be safe in your arms and you will never let it go to waste with everyone she loved by the water she wore white that day she was your everything first sight from the moment on the summer night but she could not stay so you planned out all your life in your letters up until that winters day you took plane so you would be together she was your everything now tell her what is changed between good and goodbye why you tryin everything to walk out of her life if you leave now do not leave her with the blame you know she is going to take it anyway tell her what is changed can you find yourself think twice about everything before you go can you remind yourself if you break it it always will be broken can you see the consequences of leaving all these words unspoken can you find yourself now tell her what is changed between good and goodbye why you tryin everything to walk out of her life if you leave now do not leave her with the blame you know she is going to take it anyway tell her what is changed and all you think about the family you can live without how can you just turn and walk away tell her what is changed between good and goodbye why you tryin everything to walk out of her life if you leave now do not leave her with the blame oh you know she is going to take it anyway oh you know she is going to take it anyway tell her what is changed tell her what is changed tell her what is changed,36
26,0i27TdwmxXEwoGj4DmN2Dj,Duncan Laurence,Figure It Out - Commentary,have been setting forest fires in my head that could burn good thing down have been saying silly things and holding back apologies too long way too long still you said just another thing to worry about if you want we will figure it out figure it out let us go to war with all of your doubts if you want we will figure it out figure it out if you want we will figure it out figure it out have been holding grudges just to hurt myself know you are better off have been seeing the good for bad and the bad for worst like the worst was yet to come yet to come still you said just another thing to worry about if you want we will figure it out figure it out let us go to war with all of your doubts if you want we will figure it out figure it out if you want we will figure it out figure it out it takes the sun to dry the rain it takes while to feel the same luckily we have got nothing but time it takes fear to overcome you got to hurt to love someone and love is all it takes to feel alive oh just another thing to worry about if you want we will figure it out figure it out let us go to war with all of your doubts and if you want we will figure it out figure it out and if you want we will figure it out figure it out and if you want we will figure it out figure it out and if you want we will figure it out figure it out,17
27,0INehbMZOFPnaPBAjK97i3,Juice WRLD,I'll Be Fine,ooh and we live and we recording and there is lean on deck yknow purple rain okay so yeah just popped bean yesterday it was long night done did the right drugs only on the wrong night was rocking offwhite tryna have fun time she gon eat like lunch time molly got her on time fuck niggas do not get respect but am about to die about mine swervo told me stop popping them xannies fore flatline said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine am about to be fine uh am about to be fine but in the meantime bitch it is lean time pop bean time because it are not killing me my lil bro keep they thought his ass was security too busy making money to worry bout making memories but in the meantime bitch it is green time maybe lean time outta energy my momma told me stop the painkillers them shits is killing me killing me killing me am about to be fine huh just popped bean yesterday it was long night done did the right drugs only on the wrong night was rocking offwhite tryna have fun time she gon eat like lunchtime molly got her on time fuck niggas do not get respect but am about to die about mine swervo told me stop popping them xannies fore flatline said hold on bro wait uh am about to be fine am about to be fine uh am about to be fine they know my name hold weight uh put it in her mouth just like colgate uh get outta line and you get punched in your face should not have been around here in the first place now you got black eye got mob ties got gang ties make you drown in your blood just like high tide now am up everybody want to high five remember when they used to diss me in the lunch line now am eating steak and eggs when it is lunchtime remember eating ramen with glock remember when she left me for the next guy guy now she calling me her next guy huh just popped bean yesterday it was long night done did the right drugs only on the wrong night was rocking offwhite tryna have fun time she gon eat like lunch time molly got her on time fuck niggas do not get respect but am about to die about mine swervo told me stop popping them xannies fore flatline said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine said hold on bro wait uh am about to be fine am about to be fine uh am about to be fine woke up xanning sit down can not stand it anymore anymore can not stand it anymore anymore anymore ooh ooh woke up leaning so woke up dreaming dreaming and fiending for more for more for more one cup need four more hey woke up leaning so woke up dreaming dreaming and fiending for more for more for more one cup need four more hey hey hey hey hey,74
28,0jWm0VyD8p3MrSInczpows,DaBaby,BLAME IT ON BABY,am like fuck it let the beat build nigga do my own thing are not worry bout how he feel nigga let us go special ed yeah am rere nigga can get re ahem yeah refill nigga ya favorite rapper say he fuckin with baby somebody lied play with ya kids because the last nigga played me somebody died yeah yeah playin both sides go play the victim oh now they cryin water park when slip in my baby she let me slide chocolateass nigga yeah real nigga rockstar platinum sellin popstar poppinass nigga pop my bitch is like barbie woo like am pop smoke lift up one leg when she drop that ass nigga drop shade room baby shade shade who everybody blame you you ballin like you babe ruth baby huh blame it on baby let the beat build wait minute who are you okay kid drop the beat and watch me take it home baby let us go get chicken no tender fine lil bitches on twitter denyin all these hoes on insta brand new drip wear it one time like nigga can not fit it blame it on baby greasy lil nigga grease iphone ringin who is it brr probably some lil nigga bitch he fuck with my old ho and he think he hurtin my feelings already hit haa psych he must are not heard about baby he must not know about jon jon heard they shut down the airport hopped on jet to la bitch am ballin like bronbron bdb we gon cut up regardless know am on top am target my young nigga ballin like giannis you play we gon pull up and shoot top floor of the penthouse biggest one still in charlotte let us go know these hoes gon creep will never be fool and think that she me am the type to let ho do what she want am the type to let bitch do what she please please are not breakin bread am cheap nine out of ten of these niggas naive lameass nigga might as well be rat lettin all these hoes run away with yo cheese slow down slow down please am startin to think that you all the police nigga you know that shit you see on ig you do not know me nigga let us go you crossed the line gon have to show me nigga they be like why you switched the beat because my flow neat nigga thought he could not switch the flow how the hell he switchin the beat up they do not know who they fuckin with do this shit with my feet up yawning on these niggas sit back go to sleep get woke by lil freak with my dick in her mouth she eat up in cash probably stillll pull out visa are not going on date tell bitch to order pizza gon end up eatin dominos can not even lie am player had all kind of hoes way before the designer clothes put on sweatsuit and leave with ya ho whole arena full of people to see me at the show you know rock the show and lay low with my freak it are not too many rappers that can fuck with me and she know let us go know these hoes gon creep will never be fool and think that she me am the type to let ho do what she want am the type to let bitch do what she please please are not breakin bread am cheap nine out of ten of these niggas naive lameass nigga might as well be rat lettin all these hoes run away with yo cheese please,57
29,0K4USWqV0DZZ5sffa3wxh0,Queen,Sweet Lady - Remastered 2011,ooh like it you call me up and treat me like dog you call me up and tear me up inside you have got me on lead ooh you bring me down you shout around you do not believe that am alone ooh you do not believe me sweet lady sweet lady sweet lady sweet lady ooh stay sweet you call me up and feed me all the lines you call me sweet like am some kind of cheese waiting on the shelf you eat me up you hold me down am just fool to make you home ooh you really do and you say sweet lady sweet lady sweet lady sweet lady sweet lady ooh come on stay sweet my sweet lady though it seems like we wait forever stay sweet baby believe and we have got everything we need got everything we need sweet lady sweet lady sweet lady yeah ooh ooh stay sweet stay sweet oh runaway come on yeah yeah yeah yeah sweet lady woo,45
30,0KAzP1Rbp0Vz5pw8i1KDDI,Post Malone,Internet,eyeahyeahyeah oh whoa eyeahyeahyeah just seen lil mama instagram and she flexin do not care about your puppy just that ass and them breastses oh girl you model damn never would have guessed it and if you tryna throw out all them vibes am about to catch them the lifestyle we live is just too dangerous paranoid since they have been leakin my shit wonder if it will come out on the web and can not help all these bitches on my dick takin photo and postin that shit comin home late and crawl into bed she always be askin me where have you been whoa the world has gone to shit and we all know that people freakin out like hit the prozac leon dechino shorts got all the blogs mad well fuck the internet and you can quote that whoa instalove well if ignorance is bliss then do not wake me up and will probably be the last to know whoa because do not get on the internet no more instalove well if ignorance is bliss then do not wake me up and will probably be the last to know whoa because do not get on the internet no more ooh ooh ooh ooh ooh ooh,65
31,0kn2gu8Pd03DiYHzRvX2Xk,Conan Gray,Wish You Were Sober,wish you were so wish you were so wish you were sober sober sober sober this partys shit wish we could dip go anywhere but here do not take hit do not kiss my lips and please do not drink more beer am about to crawl out the window now because do not like anyone around kind of hope you are followin me out but this is definitely not my crowd nineteen but you act twentyfive now knees weak but you talk pretty fly wow ripped jeans and cup that you just downed take me where the music are not too loud trade drinks but you do not even know her save me until the party is over kiss me in the seat of your rover real sweet but wish you were sober wish you were so wish you were so wish you were sober wish you were sober wish you were so wish you were so wish you were sober wish you were sober trip down the road walking you home you kiss me at your door pulling me close beg me stay over but am over this roller coaster am about to crawl out the window now getting good at saying got to bounce honestly you always let me down and know we are not just hanging out nineteen but you act twentyfive now knees weak but you talk pretty fly wow ripped jeans and cup that you just downed take me where the music are not too loud trade drinks but you do not even know her save me until the party is over kiss me in the seat of your rover real sweet but wish you were sober wish you were so wish you were so wish you were sober wish you were sober wish you were so wish you were so wish you were sober wish you were sober wish wish wish wish wish wish you were sober wish wish wish wish wish oh wish you were sober nineteen but you act twentyfive now knees weak but you talk pretty fly wow ripped jeans and cup that you just downed take me where the music are not too loud trade drinks but you do not even know her save me until the party is over kiss me in the seat of your rover real sweet but wish you were sober,72
