Column1,account_id,bank_district_id,acc_opening_date,LOR in months,client_id,nbr_users,client_district_id,birth_year,birth_day,birth_month,gender,Age_group,loan_amount,loan_duration,loan_monthly_pmts,loan_year,loan_month,loan_day,loan_granted_in_97,loan_category,loan_default,loan_status,Contract_not_finished,Contract_finished,loan_months_remaining,loan_amount_remaining,loan_recency,card_type,issued_date_card,issued_yr_card,card_issued_in_97,district_id,district_name,region,nbr_inhabitants,ratio_urban_inh,average_salary,unemployment_rate_96,nbr_entp_1000_inh,unemployment_rate_missing,nbr_crimes_missing,crime_rate_96,SEC,High-Class,Low-Class,Middle-Class,last_trans_date,recency,freq_total_LTM,freq_credit_LTM,freq_withdrawal_LTM,end_balance,total_credit_LTM,total_withdrawal_LTM,avg_credit_LTM,avg_withdrawal_LTM,freq_total_LSM,freq_credit_LSM,freq_withdrawal_LSM,total_credit_LSM,total_withdrawl_LSM,avg_credit_LSM,avg_withdrawal_LSM,freq_total_LM,freq_credit_LM,freq_withdrawal_LM,total_credit_LM,total_Withdrawal_LM,avg_credit_LM,avg_withdrawal_LM,Total_order_amount,No_of_orders,order_bank_Is_AB,order_bank_Is_CD,order_bank_Is_EF,order_bank_Is_GH,order_bank_Is_IJ,order_bank_Is_KL,order_bank_Is_MN,order_bank_Is_OP,order_bank_Is_QR,order_bank_Is_ST,order_bank_Is_UV,order_bank_Is_WX,order_bank_Is_YZ,order_k_Is_leasing,order_k_Is_insurrance,order_k_Is_household,order_k_Is_loan,order_k_Is_NO CHAR,total_savings
10,1726,48,03-01-1993,47,2093,2,48,1970,24,6,M,20,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,48,Rychnov nad Kneznou,east Bohemia,78955,59,9060,2.44,124,0,0,21.7465645,Middle-Class,0,0,1,31-12-1996,0 days,109,26,83,29250.9,186412.5,187063.2,7169.711538,2253.773494,51,13,38,93339.5,85341.6,7179.961538,2245.831579,9,2,7,21088.6,21203.6,10544.3,3029.085714,6709,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,-650.7
11,2881,70,04-01-1993,47,3483,1,70,1940,2,12,M,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,70,Karvina,north Moravia,285387,89.9,10177,7.75,81,0,0,35.41857197,High-Class,1,0,0,31-12-1996,0 days,72,31,41,47522.2,128650.1,123483.2,4150.003226,3011.785366,32,15,17,56088.7,34541.6,3739.246667,2031.858824,6,2,4,10630.1,6973.6,5315.05,1743.4,4639,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5166.9
12,2357,19,04-01-1993,47,2849,1,19,1928,2,4,M,60,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,19,Prachatice,south Bohemia,51428,52.7,8402,3.98,120,0,0,21.36968189,Middle-Class,0,0,1,31-12-1996,0 days,60,24,36,28497.1,78441.7,77873.2,3268.404167,2163.144444,26,12,14,39193,26421.6,3266.083333,1887.257143,6,2,4,6558.3,7003.6,3279.15,1750.9,3869,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,568.5
13,2177,62,04-01-1993,47,2636,1,28,1918,24,10,M,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,62,Uherske Hradiste,south Moravia,145688,40.7,8544,1.86,109,0,0,19.94673549,Low-Class,0,1,0,31-12-1996,0 days,66,24,42,15807.7,62537.9,71721.2,2605.745833,1707.647619,32,12,20,31298.7,38675.6,2608.225,1933.78,8,2,6,5200.6,9862.6,2600.3,1643.766667,3168,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-9183.3
14,485,6,04-01-1993,47,583,1,75,1965,1,1,F,30,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,6,Kutna Hora,central Bohemia,77963,51.5,8546,4.02,126,0,0,40.01898336,Middle-Class,0,0,1,31-12-1996,0 days,120,35,85,55221.5,619818.3,631761,17709.09429,7432.482353,52,14,38,241390.8,244700,17242.2,6439.473684,8,2,6,37408.6,29584,18704.3,4930.666667,15213.6,4,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,-11942.7
15,652,21,05-01-1993,47,782,1,5,1963,18,3,F,30,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,21,Tabor,south Bohemia,103347,67,9104,2.07,123,0,0,22.77763264,Middle-Class,0,0,1,31-12-1996,0 days,68,26,42,54654.9,190880.6,185127.2,7341.561538,4407.790476,34,12,22,91315,84613.6,7609.583333,3846.072727,6,2,4,21004.6,18545.6,10502.3,4636.4,7591,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5753.4
16,9635,70,05-01-1993,47,11860,1,70,1925,30,8,F,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,70,Karvina,north Moravia,285387,89.9,10177,7.75,81,0,0,35.41857197,High-Class,1,0,0,31-12-1996,0 days,70,36,34,13855,54339.5,50285.2,1509.430556,1478.976471,33,18,15,27258.2,21657.6,1514.344444,1443.84,6,3,3,4562.9,3964.6,1520.966667,1321.533333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054.3
17,1844,44,06-01-1993,47,2236,1,44,1978,27,6,F,10,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,44,Chrudim,east Bohemia,105606,53,8254,3.76,97,0,0,22.01579456,Middle-Class,0,0,1,31-12-1996,0 days,54,24,30,33490.3,40526.8,39247.2,1688.616667,1308.24,27,12,15,20257.5,15843.6,1688.125,1056.24,6,2,4,3382.8,4005.6,1691.4,1001.4,2161,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1279.6
18,1926,37,06-01-1993,47,2338,2,58,1957,25,7,F,30,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,37,Litomerice,north Bohemia,114006,62.3,9065,5.39,123,0,0,36.54193639,Middle-Class,0,0,1,31-12-1996,0 days,86,31,55,16230.8,71184.8,82063.2,2296.283871,1492.058182,41,14,27,33407.1,37911.6,2386.221429,1404.133333,7,2,5,6840,10578.6,3420,2115.72,3004,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,-10878.4
19,2393,10,07-01-1993,47,2889,1,25,1943,5,12,M,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,10,Praha - vychod,central Bohemia,92084,46.7,10124,0.54,141,0,0,46.8702489,Middle-Class,0,0,1,31-12-1996,0 days,72,25,47,31942.7,147078.3,150339.2,5883.132,3198.706383,34,12,22,70579.2,65199.6,5881.6,2963.618182,8,2,6,16241.1,16946.6,8120.55,2824.433333,5545,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-3260.9
20,3510,41,07-01-1993,47,4238,1,41,1971,26,4,F,20,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,41,Usti nad Labem,north Bohemia,118650,85.6,9832,4.48,114,0,0,46.11040877,High-Class,1,0,0,31-12-1996,0 days,51,23,28,53577.2,203576.7,193828.2,8851.16087,6922.435714,26,11,15,105855.4,107462.6,9623.218182,7164.173333,3,1,2,251.7,8314.6,251.7,4157.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9748.5
21,1276,36,07-01-1993,47,1540,2,36,1937,7,11,M,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,36,Liberec,north Bohemia,159617,85.2,9198,4.28,131,0,0,38.4169606,High-Class,1,0,0,31-12-1996,0 days,93,29,64,37988.3,97711.8,90727.2,3369.372414,1417.6125,43,14,29,46807.9,38003.6,3343.421429,1310.468966,7,2,5,10322.7,9730.6,5161.35,1946.12,4516,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,6984.6
22,1637,1,08-01-1993,47,1984,1,1,1926,29,8,M,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,1,Hl.m. Praha,Prague,1204953,100,12541,0.43,167,0,0,82.24968111,High-Class,1,0,0,31-12-1996,0 days,76,24,52,27907.8,69625.8,70101.2,2901.075,1348.1,32,12,20,34854.8,22195.6,2904.566667,1109.78,7,2,5,5830.6,5407.6,2915.3,1081.52,3343,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,-475.4
23,3871,26,08-01-1993,47,4665,2,9,1926,27,8,F,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,26,Plzen - mesto,west Bohemia,170449,100,10787,3.09,131,0,0,36.73239503,High-Class,1,0,0,31-12-1996,0 days,79,24,55,33522.9,54041.2,59411.2,2251.716667,1080.203636,39,12,27,27018.4,29295.6,2251.533333,1085.022222,8,2,6,4502.5,7372.6,2251.25,1228.766667,1658,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,-5370
24,192,55,08-01-1993,47,232,1,55,1921,17,6,F,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,55,Brno - venkov,south Moravia,157042,33.9,8743,2.43,111,0,0,24.79591447,Low-Class,0,1,0,31-12-1996,0 days,62,24,38,27840.8,71722,78141.2,2988.416667,2056.347368,28,12,16,35801.4,32335.6,2983.45,2020.975,6,2,4,5981.5,8347.6,2990.75,2086.9,3583,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-6419.2
25,764,1,08-01-1993,47,914,1,1,1921,19,1,F,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,1,Hl.m. Praha,Prague,1204953,100,12541,0.43,167,0,0,82.24968111,High-Class,1,0,0,31-12-1996,0 days,62,24,38,20485.3,76020.5,72105.2,3167.520833,1897.505263,31,12,19,38009.2,43597.6,3167.433333,2294.610526,6,2,4,6326,5824.6,3163,1456.15,2360,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3915.3
26,2087,7,08-01-1993,47,2530,1,8,1950,11,2,M,40,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,7,Melnik,central Bohemia,94725,63.4,9920,2.87,130,0,0,51.15861705,Middle-Class,0,0,1,31-12-1996,0 days,59,24,35,31712.4,249801.3,248474,10408.3875,7099.257143,29,12,17,145282.1,151294,12106.84167,8899.647059,5,2,3,10547.6,21630,5273.8,7210,4619.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1327.3
27,2122,68,08-01-1993,47,2566,1,29,1963,25,3,F,30,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,68,Frydek - Mistek,north Moravia,228848,57.2,9893,4.72,96,0,0,25.72449836,Middle-Class,0,0,1,31-12-1996,0 days,56,24,32,26934.7,132410.9,132954.2,5517.120833,4154.81875,30,12,18,61753.6,82388.6,5146.133333,4577.144444,6,2,4,9936.7,19413.6,4968.35,4853.4,7663,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-543.3
28,3592,54,08-01-1993,47,4335,1,54,1924,25,12,F,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,54,Brno - mesto,south Moravia,387570,100,9897,1.96,140,0,0,48.23902779,High-Class,1,0,0,31-12-1996,0 days,64,24,40,18381.1,73179.8,82255.2,3049.158333,2056.38,34,12,22,36525.1,34217.6,3043.758333,1555.345455,6,2,4,6085.5,6524.6,3042.75,1631.15,3360,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-9075.4
29,3487,41,08-01-1993,47,4215,1,49,1952,8,6,F,40,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,41,Usti nad Labem,north Bohemia,118650,85.6,9832,4.48,114,0,0,46.11040877,High-Class,1,0,0,31-12-1996,0 days,79,25,54,56594.3,210275.2,205535.2,8411.008,3806.207407,39,12,27,104853.5,96597.6,8737.791667,3577.688889,7,2,5,24109.4,21889.6,12054.7,4377.92,8275,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,4740
30,435,38,08-01-1993,47,523,1,38,1922,17,12,M,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,38,Louny,north Bohemia,85852,59.8,8965,8.23,104,0,0,32.87052136,Middle-Class,0,0,1,31-12-1996,0 days,59,24,35,29244.2,61814.1,61573.2,2575.5875,1759.234286,27,12,15,30961.8,25201.6,2580.15,1680.106667,7,2,5,5170.5,9183.6,2585.25,1836.72,3189,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,240.9
31,1730,1,09-01-1993,47,2099,1,1,1918,16,1,M,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,1,Hl.m. Praha,Prague,1204953,100,12541,0.43,167,0,0,82.24968111,High-Class,1,0,0,31-12-1996,0 days,63,24,39,46613.1,82377.3,71121.2,3432.3875,1823.620513,30,12,18,41285.6,31185.6,3440.466667,1732.533333,6,2,4,6891.4,9342.6,3445.7,2335.65,1978,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11256.1
32,1493,41,09-01-1993,47,1810,1,41,1919,30,6,M,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,41,Usti nad Labem,north Bohemia,118650,85.6,9832,4.48,114,0,0,46.11040877,High-Class,1,0,0,31-12-1996,0 days,74,24,50,17224.6,60972,66985.2,2540.5,1339.704,34,12,22,30443.8,27077.6,2536.983333,1230.8,6,2,4,5075.7,2929.6,2537.85,732.4,2315,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-6013.2
33,374,38,09-01-1993,47,454,1,38,1949,15,6,F,40,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,38,Louny,north Bohemia,85852,59.8,8965,8.23,104,0,0,32.87052136,Middle-Class,0,0,1,31-12-1996,0 days,58,24,34,58286,301962,288631.2,12581.75,8489.152941,26,12,14,151014.4,125259.6,12584.53333,8947.114286,5,2,3,34788.2,27614.6,17394.1,9204.866667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13330.8
34,2925,1,10-01-1993,47,3533,1,1,1963,1,12,F,30,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,1,Hl.m. Praha,Prague,1204953,100,12541,0.43,167,0,0,82.24968111,High-Class,1,0,0,31-12-1996,0 days,69,27,42,16981.3,91769.8,100439.2,3398.881481,2391.409524,31,12,19,42347.6,50169.6,3528.966667,2640.505263,5,2,3,9733.1,6411.6,4866.55,2137.2,4297,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-8669.4
35,866,9,10-01-1993,47,1044,1,9,1971,13,9,F,20,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,9,Nymburk,central Bohemia,81344,55.3,8899,3.97,149,0,0,30.57385917,Middle-Class,0,0,1,31-12-1996,0 days,111,25,86,40747.6,169219.4,171887.2,6768.776,1998.688372,51,12,39,83245,76793.6,6937.083333,1969.066667,10,2,8,19143.9,20365.6,9571.95,2545.7,4851,4,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,-2667.8
36,1628,60,10-01-1993,47,1973,1,60,1931,13,9,F,60,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,60,Prostejov,south Moravia,110643,51.9,8441,4.48,115,0,0,20.35375035,Middle-Class,0,0,1,31-12-1996,0 days,55,24,31,21113,52204.7,47745.2,2175.195833,1540.167742,27,12,15,26119,22107.6,2176.583333,1473.84,5,2,3,4358.8,3864.6,2179.4,1288.2,2850,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4459.5
37,2379,44,10-01-1993,47,2874,1,34,1972,10,9,M,20,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,44,Chrudim,east Bohemia,105606,53,8254,3.76,97,0,0,22.01579456,Middle-Class,0,0,1,31-12-1996,0 days,80,24,56,14381.4,66662.4,64747.2,2777.6,1156.2,40,12,28,33354.3,31773.6,2779.525,1134.771429,9,2,7,7677.3,8195.6,3838.65,1170.8,3381,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1915.2
38,1979,26,11-01-1993,47,2404,2,27,1977,5,7,F,10,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,26,Plzen - mesto,west Bohemia,170449,100,10787,3.09,131,0,0,36.73239503,High-Class,1,0,0,31-12-1996,0 days,66,24,42,23011.3,37401.1,36733.2,1558.379167,874.6,33,12,21,18733.9,19461.6,1561.158333,926.7428571,7,2,5,3120.9,4318.6,1560.45,863.72,2014,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,667.9
39,346,37,11-01-1993,47,423,1,37,1957,23,6,M,30,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,37,Litomerice,north Bohemia,114006,62.3,9065,5.39,123,0,0,36.54193639,Middle-Class,0,0,1,31-12-1996,0 days,76,24,52,52466.1,261663.8,258595.2,10902.65833,4972.984615,35,12,23,130816,117157.6,10901.33333,5093.808696,6,2,4,30141.1,27449.6,15070.55,6862.4,7875,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3068.6
40,1338,74,11-01-1993,47,1619,2,74,1942,27,1,F,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,74,Ostrava - mesto,north Moravia,323870,100,10673,5.44,100,0,0,56.64927286,High-Class,1,0,0,31-12-1996,0 days,95,29,66,79562.8,340691.8,293950.2,11747.9931,4453.790909,51,16,35,261313.3,210202.6,16332.08125,6005.788571,11,2,9,40265.1,60934.6,20132.55,6770.511111,5599,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,46741.6
41,1909,14,12-01-1993,47,2319,1,40,1970,16,5,F,20,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,14,Ceske Budejovice,south Bohemia,177686,74.8,10045,1.71,135,0,0,35.42766453,Middle-Class,0,0,1,31-12-1996,0 days,92,24,68,18282.8,39181.9,41539.2,1632.579167,610.8705882,41,12,29,19588.6,16899.6,1632.383333,582.7448276,8,2,6,3268.9,2881.6,1634.45,480.2666667,2127,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,-2357.3
42,2099,3,12-01-1993,47,2542,2,3,1944,19,12,M,50,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,3,Beroun,central Bohemia,75232,41.7,8980,2.21,111,0,0,37.39100383,Low-Class,0,1,0,31-12-1996,0 days,69,33,36,66324,507602.4,477844,15381.89091,13273.44444,31,14,17,203718.2,184380,14551.3,10845.88235,5,1,4,314.2,16930,314.2,4232.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29758.4
43,3760,44,13-01-1993,47,4536,1,41,1947,14,10,M,40,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,44,Chrudim,east Bohemia,105606,53,8254,3.76,97,0,0,22.01579456,Middle-Class,0,0,1,31-12-1996,0 days,65,27,38,39658,464898.4,447008.2,17218.45926,11763.37368,34,15,19,277174.4,257486.6,18478.29333,13551.92632,8,2,6,27772.2,65357.6,13886.1,10892.93333,2947.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17890.2
44,5270,44,13-01-1993,47,6367,1,44,1970,28,4,M,20,79608,24,3317,1993,11,22,0,50-100K,0,loan fully paid,0,1,0,0,,NA,,0,0,44,Chrudim,east Bohemia,105606,53,8254,3.76,97,0,0,22.01579456,Middle-Class,0,0,1,31-12-1996,0 days,74,24,50,68100.7,584763.3,556089.2,24365.1375,11121.784,35,12,23,292390.5,273701.6,24365.875,11900.06957,6,2,4,67434.9,52914.6,33717.45,13228.65,3317,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28674.1
45,1699,53,14-01-1993,47,2064,1,53,1926,30,7,M,70,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,,NA,,0,0,53,Blansko,south Moravia,107911,50.9,8240,3.56,99,0,0,17.63490284,Middle-Class,0,0,1,31-12-1996,0 days,72,24,48,14737,63435.9,65079.2,2643.1625,1355.816667,33,12,21,31732,27789.6,2644.333333,1323.314286,7,2,5,5299.4,7986.6,2649.7,1597.32,3482,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-1643.3
