airport_name,alt,lon,lat,Delay
Canyonlands Field,4555,-109.754722,38.755,2257174
Cape Girardeau Regional Airport,342,-89.5708,37.2253,2257174
Cape Lisburne Lrrs,12,-166.110022,68.875133,2257174
Cape May Co,23,-74.908275,39.008507,2257174
Cape Newenham Lrrs,541,-162.062778,58.646428,2257174
Cape Romanzof Lrrs,457,-166.038747,61.780297,2257174
Capital City,861,-84.587357,42.7787,2257174
Capital City Airport,347,-76.8513611,40.2171389,2257174
Capital City Airport,812,-84.9061389,38.1819722,2257174
Carbon County Regional-Buck Davis Field,5957,-110.75278,39.609722,2257174
Caribou Muni,626,-68.017917,46.8715,2257174
Cartersville Airport,759,-84.8487067,34.1231475,2257174
Casa Grande Municipal Airport,1464,-111.766832,32.954889,2257174
Castle,189,-120.568189,37.380481,2257174
Cavern City Air Terminal,3295,-104.263278,32.337472,2257174
Cecil Field,81,-81.8767,30.2187,2257174
Cedar City Rgnl,5622,-113.098847,37.700967,2257174
Cedar Rapids,869,-91.710806,41.884694,2257174
CedarKey,11,-83.0504722,29.1342222,2257174
Centennial,5883,-104.849294,39.570129,2257174
Central Airport,937,-144.780833,65.573889,2257174
Central Illinois Rgnl,871,-88.915917,40.477111,2257174
Central Nebraska Regional Airport,1847,-98.3096,40.9675,2257174
Central Wisconsin,840,-89.646635,44.772726,2257174
Centre-Piedmont-Cherokee County Regional Airport,595,-85.6100833,34.0899167,2257174
Chadron Municipal Airport,3297,-103.095556,42.8375,2257174
Chalkyitsik Airport,544,-143.74,66.645,2257174
Champaign,754,-88.278056,40.03925,2257174
Chan Gurney,1200,-97.3969,42.8711,2257174
Charles M Schulz Sonoma Co,125,-122.81288,38.508978,2257174
Charleston Afb Intl,45,-80.040528,32.898647,2257174
Charlevoix Municipal Airport,669,-85.2753333,45.3047778,2257174
Charlotte County-Punta Gorda Airport,26,-81.990556,26.919722,2257174
Charlotte Douglas Intl,748,-80.943139,35.214,2257174
Charlottesville-Albemarle,639,-78.452861,38.138639,2257174
Chatham Seaplane Base,0,-134.946111,57.515,2257174
Chatsworth Station,978,-118.598889,34.256944,2257174
Chautauqua County-Dunkirk Airport,693,-79.2720417,42.4933353,2257174
Chautauqua County-Jamestown,525,-79.258056,42.153333,2257174
Chefornak Airport,40,-164.285556,60.149167,2257174
Chehalis-Centralia,177,-122.5897,46.4062,2257174
Chemehuevi Valley,638,-114.431971,34.528889,2257174
Chenega Bay Airport,72,-147.991944,60.077222,2257174
Cherokee County Airport,1219,-84.4221556,34.3122175,2257174
Cherry Capital Airport,624,-85.582235,44.741445,2257174
Cherry Point Mcas,29,-76.880733,34.900872,2257174
Chester County G O Carlson Airport,660,-75.8654,39.9789,2257174
Chevak Airport,75,-165.584,61.5338,2257174
Cheyenne Rgnl Jerry Olson Fld,6156,-104.811839,41.155722,2257174
Chicago Executive,647,-87.9015376,42.1142897,2257174
Chicago Midway Intl,620,-87.752417,41.785972,2257174
Chicago Ohare Intl,668,-87.904842,41.978603,2257174
Chicago Rockford International Airport,742,-89.0972222,42.1953611,2257174
Chico Muni,238,-121.858422,39.795383,2257174
Chignik Bay Seaplane Base,0,-158.401398,56.295556,2257174
Chignik Lagoon Airport,25,-158.534167,56.311111,2257174
Chignik Lake Airport,50,-158.775278,56.255,2257174
Childress Muni,1954,-100.287992,34.433781,2257174
China Lake Naws,2283,-117.692039,35.685422,2257174
Chinle Municipal Airport,5547,-109.5754222,36.1108806,2257174
Chippewa County International Airport,800,-84.4724,46.2508,2257174
Chippewa Valley Regional Airport,913,-91.4843,44.8658,2257174
Chisana Airport,1011,-142.048333,62.071111,2257174
Chisholm Hibbing,1353,-92.838994,47.3866,2257174
Chuathbaluk Airport,243,-159.215556,61.579167,2257174
Cincinnati Muni Lunken Fld,483,-84.418611,39.103333,2257174
Cincinnati Northern Kentucky Intl,896,-84.667822,39.048836,2257174
Circle City Airport,613,-144.076111,65.827778,2257174
City Of Colorado Springs Muni,6187,-104.700778,38.805805,2257174
Clarke CO,320,-88.4434,32.0517,2257174
Clarksville-Montgomery County Regional Airport,550,-87.415,36.621944,2257174
Clayton County Tara Field,874,-84.332397,33.389099,2257174
Clear,552,-149.120144,64.301203,2257174
Clear Lake Metroport,35,-95.137497,29.5569,2257174
Clearwater Air Park,70,-82.7586667,27.9764722,2257174
Clemson,891,-82.8858889,34.6722222,2257174
Cleveland Hopkins Intl,791,-81.849794,41.411689,2257174
Clinton Municipal,708,-90.3289722,41.83075,2257174
Clovis Muni,4216,-103.079278,34.425139,2257174
Clow International Airport,670,-88.1292306,41.6959744,2257174
Cobb County Airport-Mc Collum Field,1041,-84.5970556,34.0131569,2257174
Coffman Cove Seaplane Base,0,-132.833889,56.014722,2257174
Cold Bay,96,-162.725436,55.206061,2257174
Coldfoot Airport,1014,-150.176111,67.251389,2257174
Coleman A Young Muni,626,-83.009861,42.409195,2257174
Collin County Regional Airport at Mc Kinney,585,-96.5905278,33.1779444,2257174
Colorado Springs East,6145,-104.41,38.87,2257174
Columbia County,198,-73.7103,42.2913,2257174
Columbia Metropolitan,236,-81.119528,33.938833,2257174
Columbia Rgnl,889,-92.219631,38.818094,2257174
Columbus Afb,219,-88.443833,33.643833,2257174
Columbus Metropolitan Airport,397,-84.9388611,32.5163333,2257174
Concord Municipal,342,-71.50233,43.20267,2257174
Condron Aaf,3934,-106.40277,32.341484,2257174
Coolidge Municipal Airport,1574,-111.427001953125,32.9359016418457,2257174
Corpus Christi Intl,44,-97.501222,27.770361,2257174
Corpus Christi NAS,18,-97.290376,27.692701,2257174
Cortez Muni,5918,-108.628056,37.303,2257174
Corvallis Muni,250,-123.2915,44.5067,2257174
Cottonwood Airport,3550,-112.035003662109,34.7299995422363,2257174
Cotulla Lasalle Co,474,-99.220294,28.456694,2257174
Coulter Fld,367,-96.331361,30.715694,2257174
Council Airport,85,-163.703333,64.897778,2257174
County,34,-80.851111,27.265833,2257174
Covington Municipal Airport,809,-83.8474472,33.6323083,2257174
Coweta County Airport,970,-84.7697554,33.3115656,2257174
Craig Fld,166,-86.987803,32.343947,2257174
Craig Seaplane Base,0,-133.147778,55.478889,2257174
Craven Co Rgnl,18,-77.042944,35.072972,2257174
Creech Afb,3133,-115.673353,36.587183,2257174
Crisp County Cordele Airport,310,-83.7739167,31.9888333,2257174
Crooked Creek Airport,178,-158.135,61.867778,2257174
Cross City,42,-83.10475,29.6355278,2257174
Crystal Airport,869,-93.2114,45.0343,2257174
Crystal River,9,-82.5741111,28.8676111,2257174
Cut Bank Muni,3854,-112.376144,48.608353,2257174
Cuyahoga County,879,-81.4863555,41.565124,2257174
Dade Collier Training And Transition,13,-80.897,25.861806,2257174
Dalhart Muni,3991,-102.547278,36.022586,2257174
Dallas Executive Airport,201,-96.868333,32.680833,2257174
Dallas Fort Worth Intl,607,-97.037997,32.896828,2257174
Dallas Love Fld,487,-96.851778,32.847111,2257174
Dalton Municipal Airport,709,-84.87025,34.7229444,2257174
Danbury Municipal Airport,458,-73.4821906,41.3715353,2257174
Dane Co Rgnl Truax Fld,887,-89.337514,43.139858,2257174
Daniel Field Airport,423,-82.0393808,33.4665028,2257174
Dare County Regional,13,-75.4173,35.5514,2257174
Darlington County Jetport,192,-79.8900608,34.4493845,2257174
David Wayne Hooks Field,152,-95.554276,30.063746,2257174
Davis Fld,612,-95.366656,35.656489,2257174
Davis Monthan Afb,2704,-110.883144,32.166467,2257174
Dawson Community Airport,749,-104.807222,47.138611,2257174
Dayton-Wright Brothers Airport,957,-84.2248611,39.5889722,2257174
Daytona Beach Intl,34,-81.058056,29.179917,2257174
De Kalb Taylor Municipal Airport,914,-88.7056864,41.9338342,2257174
DeFuniak Springs Airport,289,-86.1537778,30.7311111,2257174
Deadhorse,64,-148.465167,70.19475,2257174
Decatur,682,-88.865689,39.834564,2257174
Decatur County Industrial Air Park,141,-84.6369278,30.9715981,2257174
Deer Harbor Seaplane,0,-123.00596,48.618397,2257174
Deer Valley Municipal Airport,1478,112.457,33.4117,2257174
Deering Airport,21,-162.766,66.0696,2257174
Dekalb-Peachtree Airport,1003,-84.3019722,33.8756111,2257174
Del Norte County Airport,57,-124.237,41.7802,2257174
Del Rio Intl,1002,-100.927158,29.374208,2257174
Delaware County Airport,937,-85.39575,40.2424722,2257174
Dell Flight Strip,6007,-112.7200133,44.7357483,2257174
Delta County Airport,609,-87.093611,45.722778,2257174
Delta Municipal Airport,4759,-112.5077147,39.3806386,2257174
Denver Intl,5431,-104.673178,39.861656,2257174
Des Moines Intl,958,-93.663083,41.533972,2257174
Desert Aire,586,-119.5518,46.4124,2257174
Destin,23,-86.4714772,30.4000611,2257174
Detroit Metro Wayne Co,645,-83.353389,42.212444,2257174
Devils Lake Regional Airport,1445,-98.908611,48.114444,2257174
Dickinson Theodore Roosevelt Regional Airport,2592,-102.801944,46.7975,2257174
Dillant Hopkins Airport,149,42.898333,72.270833,2257174
Dillingham,14,-158.197281,21.579475,2257174
Dillingham,74,-158.5055,59.044667,2257174
Dinwiddie County Airport,193,-77.507388,37.18375,2257174
Dobbins Arb,1068,-84.516319,33.915382,2257174
Dodge City Regional Airport,2594,-99.9656,37.7634,2257174
Door County Cherryland Airport,725,-87.4215556,44.8436667,2257174
Dothan Rgnl,401,-85.449628,31.321339,2257174
Douglas Municipal Airport,257,-82.8605664,31.4767385,2257174
Douglas Municipal Airport,4173,-109.5064544,31.3426028,2257174
Dover Afb,28,-75.465958,39.129539,2257174
Dowagiac Municipal Airport,748,-86.1280125,41.9929342,2257174
Downtown,759,-94.598889,39.1275,2257174
Drake Fld,1251,-94.170059,36.005094,2257174
Draughon Miller Central Texas Rgnl,682,-97.407778,31.1525,2257174
Drummond Island Airport,668,-83.7439342,46.0093114,2257174
DuBois Regional Airport,1817,-78.8987,41.1783,2257174
Dubuque Rgnl,1076,-90.709472,42.402,2257174
Duluth Intl,1428,-92.193649,46.842091,2257174
Dupage,758,-88.248611,41.907778,2257174
Durango La Plata Co,6685,-107.75377,37.151516,2257174
Dyess Afb,1789,-99.8546,32.420756,2257174
Eagle Airport,908,-141.149722,64.778056,2257174
Eagle Co Rgnl,6540,-106.917694,39.642556,2257174
Eagle County Airport,6548,-106.9159347,39.6427611,2257174
Eagle River,1642,-89.268283,45.932333,2257174
Eagle's Nest Airport,1437,-78.944167,38.076944,2257174
Eareckson As,98,174.11362,52.712275,2257174
East 34th Street Heliport,10,-73.971944,40.7425,2257174
East Texas Rgnl,365,-94.711486,32.384014,2257174
East Troy Municipal Airport,860,-88.3726111,42.7971667,2257174
Eastern Oregon Regional Airport,1497,-118.841389,45.695,2257174
Eastern Slopes Regional,455,-70.9478889,43.9911389,2257174
Eastern WV Regional Airport,554,-77.591,39.2407,2257174
Easterwood Fld,321,-96.363833,30.588583,2257174
Easton-Newnam Field Airport,72,-76.069,38.8041667,2257174
Eastport Municipal Airport,45,-67.0126944,44.9101111,2257174
Edward F Knapp State,1165,-72.562328,44.203503,2257174
Edward G Pitka Sr,152,-156.937417,64.736178,2257174
Edwards Afb,2302,-117.883739,34.905417,2257174
Eek Airport,15,-162.043889,60.213611,2257174
Effingham Memorial Airport,585,-88.534,39.07,2257174
Egegik Airport,92,-157.375556,58.185556,2257174
Eglin Afb,87,-86.5254,30.48325,2257174
Eielson Afb,548,-147.1015,64.665667,2257174
Ekwok Airport,135,-157.471111,59.356944,2257174
El Centro Naf,-42,-115.671667,32.829222,2257174
El Paso Intl,3958,-106.377583,31.80725,2257174
El Toro,383,-117.731164,33.676132,2257174
Elfin Cove Seaplane Base,0,-136.3475,58.195278,2257174
Elim Airport,162,-162.270556,64.615,2257174
Elizabeth City Cgas Rgnl,12,-76.174572,36.260581,2257174
Elizabethton Municipal Airport,1593,-82.1734167,36.3712222,2257174
Elkhart Municipal,778,-86.003333,41.719444,2257174
Elkins Randolph Co Jennings Randolph,1987,-79.857139,38.889444,2257174
Elko Regional Airport,5140,-115.792,40.8249,2257174
Ellington Fld,32,-95.15875,29.607333,2257174
Ellsworth Afb,3279,-103.103567,44.145042,2257174
Elmendorf Afb,212,-149.806503,61.250986,2257174
Elmira Corning Rgnl,954,-76.891611,42.159889,2257174
Ely Airport,6259,-114.841944,39.299722,2257174
Ely Municipal,1456,-91.830833,47.824444,2257174
Emanuel Co,327,-82.369944,32.609139,2257174
Emmonak Airport,13,-164.490833,62.786111,2257174
Emporia Municipal Airport,1208,-96.1912,38.3321,2257174
Ephraim-Gibraltar Airport,773,-87.1879444,45.1354167,2257174
Eppley Afld,984,-95.894069,41.303167,2257174
Erie Intl Tom Ridge Fld,733,-80.176217,42.082022,2257174
Erie-Ottawa Regional Airport,590,-82.8694868,41.5162703,2257174
Ernest A Love Fld,5045,-112.419583,34.654472,2257174
Esler Rgnl,112,-92.295772,31.394903,2257174
Evanston-Uinta CO Burns Fld,7143,-111.0208,41.1649,2257174
Evansville Regional,418,-87.532364,38.036997,2257174
Everglades Airpark,5,-81.3902778,25.8488611,2257174
Excursion Inlet Seaplane Base,0,-135.449167,58.420556,2257174
Executive,113,-81.332936,28.545464,2257174
Executive,160,-81.528889,27.591389,2257174
Fairbanks Intl,434,-147.856267,64.815114,2257174
Fairchild Afb,2461,-117.655772,47.615058,2257174
Fairfield County Airport,577,-81.108806,34.315472,2257174
Fallon Nas,3934,-118.70098,39.416584,2257174
Falls Intl,1185,-93.403067,48.566186,2257174
False Pass Airport,20,-163.410278,54.8475,2257174
Fayetteville Regional Grannis Field,189,-78.8803,34.9912,2257174
Felker Aaf,12,-76.608841,37.1325,2257174
Felts Fld,1953,-117.322558,47.682819,2257174
Fernandina Beach Municipal Airport,16,-81.4611944,30.6118333,2257174
Ferry County Airport,2522,-118.6564714,48.7182058,2257174
Findlay Airport,819,-83.6686111,41.0120278,2257174
Finger Lakes Regional Airport,492,-76.7812318,42.8835647,2257174
First Flight Airport,13,-75.67,36.02,2257174
Fitchburg Municipal Airport,348,-71.7589722,42.5541111,2257174
Fitzgerald Municipal Airport,365,-83.2709036,31.6839046,2257174
Flabob Airport,764,-117.409971,33.988778,2257174
Flagler County Airport,33,-81.1212,29.2821,2257174
Flagstaff Pulliam Airport,7015,-111.6692392,35.140318,2257174
Florence,51,-124.1113687,43.9828168,2257174
Florence Rgnl,146,-79.723889,34.185361,2257174
Florida Keys Marathon Airport,7,-81.051389,24.726111,2257174
Floyd Bennett Memorial Airport,328,-73.610305,43.341222,2257174
Flying Cloud Airport,906,-93.2726,44.4938,2257174
Fond Du Lac County Airport,808,-88.4884167,43.7711667,2257174
Foothills Regional Airport,1270,-81.6115119,35.8202336,2257174
Forbes Fld,1078,-95.663611,38.950944,2257174
Ford Airport,1182,-88.1145556,45.8183611,2257174
Forest Lake Airport,925,-92.9943853,45.2477456,2257174
Fort Bridger,7038,-110.2436,41.236,2257174
Fort Collins Loveland Muni,5016,-105.011336,40.451828,2257174
Fort Dodge Rgnl,1157,-94.191842,42.5512,2257174
Fort Jefferson,0,-82.86667,24.61667,2257174
Fort Lauderdale Executive,13,-80.170706,26.197281,2257174
Fort Lauderdale Hollywood Intl,9,-80.15275,26.072583,2257174
Fort Smith Rgnl,469,-94.367444,35.336583,2257174
Fort Stockton Pecos Co,3011,-102.916139,30.915667,2257174
Fort Wayne,815,-85.195139,40.978472,2257174
Fort Worth Alliance Airport,722,-97.318889,32.987778,2257174
Fort Worth Meacham Intl,710,-97.362444,32.819778,2257174
Fort Yukon,433,-145.250417,66.571492,2257174
Fortman Airport,885,-84.3866186,40.5553253,2257174
Foster Field,990,-90.1693889,42.4664444,2257174
Fostoria Metropolitan Airport,752,-83.3930833,41.1908333,2257174
Four Corners Rgnl,5506,-108.229944,36.74125,2257174
Francis S Gabreski,67,-72.631789,40.843656,2257174
Frank Wiley Field,2630,-105.886,46.428,2257174
Franklin,1540,-79.860362,41.377874,2257174
Frasca Field,735,-88.200197,40.144979,2257174
Frazier Lake Airpark,152,-124.768333333333,54.0133333333333,2257174
Fredericksburg Amtrak Station,130,-77.456875,38.298416,2257174
French Valley Airport,1350,-117.1284732,33.5741791,2257174
Fresno Yosemite Intl,336,-119.71814,36.776194,2257174
Friday Harbor Airport,113,-123.024444,48.521944,2257174
Friday Harbor Seaplane Base,0,-123.009722,48.537222,2257174
Friedman Mem,5320,-114.296194,43.504444,2257174
Fullerton Municipal Airport,96,-117.584722,33.521925,2257174
Fulton County Airport Brown Field,841,-84.5214,33.7791,2257174
Funter Bay Seaplane Base,0,-134.897778,58.254444,2257174
Furnace Creek,0,-116.515,36.273,2257174
Gainesville Rgnl,152,-82.271778,29.690056,2257174
Galion Municipal Airport,1224,-82.7238056,40.7533889,2257174
Gallatin Field,4500,-111.160151,45.777643,2257174
Gallup Muni,6472,-108.789308,35.511058,2257174
Galt Field Airport,875,-88.3751111,42.4028889,2257174
Gambell Airport,27,-171.733,63.7668,2257174
Garden City Rgnl,2891,-100.724417,37.927528,2257174
Garfield County Regional Airport,5548,-107.7269444,39.5263056,2257174
Garland Airport,1218,-84.2761944,44.8065278,2257174
Garner Field,942,-99.748962,29.215429,2257174
Gary Chicago International Airport,591,-87.4128,41.6163,2257174
General Edward Lawrence Logan Intl,19,-71.005181,42.364347,2257174
General Mitchell Intl,723,-87.896583,42.947222,2257174
Genesee County Airport,914,-78.1696667,43.03175,2257174
George Bush Intercontinental,97,-95.341442,29.984433,2257174
Georgetown County Airport,40,-79.3203139,33.3114018,2257174
Georgetown Municipal Airport,790,-97.6793837,30.678809,2257174
Gerald R Ford Intl,794,-85.522806,42.880833,2257174
Germack Airport,820,-80.9039797,41.7778322,2257174
Gila Bend Municipal Airport,789,-112.673636,32.960169,2257174
Gilbert Airport,145,-81.753333,28.062778,2257174
